city,lat,lon
Pella,44.7426,-88.8224
Princeton,43.8527,-89.1305
Melvina,43.8024,-90.7815
Peshtigo,45.0556,-87.7476
Lake Tomahawk,45.81100000000001,-89.5873
Long Lake,45.8431,-88.6673
Maple Bluff,43.1132,-89.3719
Mishicot,44.2303,-87.6422
Iron Ridge,43.3982,-88.53200000000001
Johnson Creek,43.0812,-88.7702
Juneau,43.4053,-88.7041
Kohler,43.7364,-87.7795
Thornton,44.7984,-88.6917
Seymour,44.5142,-88.3271
Brandon,43.7352,-88.7822
Camp Douglas,43.9197,-90.2697
Hatley,44.8866,-89.3371
Lake Ripley,43.0045,-88.9829
Bruce,45.458999999999996,-91.2734
Hammond,44.9691,-92.4381
Maiden Rock,44.566,-92.3083
Wind Point,42.7814,-87.7721
Minong,46.0978,-91.8263
Lewis,45.7159,-92.3965
Arkdale,44.0253,-89.8861
Wautoma,44.0667,-89.2916
Black Earth,43.1344,-89.74700000000001
Kewaunee,44.4607,-87.5133
Cumberland,45.5353,-92.0269
North Bay,42.7644,-87.7812
Tilleda,44.8155,-88.9125
Iron Belt,46.4031,-90.3193
Deerfield,43.0492,-89.0762
DeForest,43.2302,-89.3437
Fountain City,44.1201,-91.6969
Bancroft,44.3093,-89.5071
Rothschild,44.8761,-89.6173
Poy Sippi,44.136,-88.9963
New London,44.395,-88.7394
Plum City,44.6338,-92.1918
Lancaster,42.8474,-90.7065
Rockdale,42.9717,-89.0318
Doylestown,43.4276,-89.1457
Wyeville,44.0279,-90.3861
Cassville,42.715,-90.98899999999999
Wauwatosa,43.0615,-88.0347
Diaperville,46.606,-90.7101
Casco,44.5558,-87.6198
