Tech,Percentage,Date,Title
powerpoint,1.6088696232077355,12-16-2019,Data Analyst
powershell,0.20840280093364447,12-16-2019,Data Analyst
python,9.694898299433145,12-17-2019,Data Analyst
r,7.019006335445148,12-17-2019,Data Analyst
react,0.05001667222407469,12-17-2019,Data Analyst
sap,0.8086028676225409,12-17-2019,Data Analyst
sas,1.7589196398799598,12-17-2019,Data Analyst
spss,0.7169056352117372,12-17-2019,Data Analyst
sql,27.650883627875967,12-17-2019,Data Analyst
salesforce,0.3167722574191397,12-17-2019,Data Analyst
scala,1.5588529509836613,12-17-2019,Data Analyst
scrum,0.15005001667222406,12-17-2019,Data Analyst
shell,0.07502500833611203,12-17-2019,Data Analyst
spark,0.3084361453817939,12-17-2019,Data Analyst
tableau,10.370123374458153,12-17-2019,Data Analyst
windows,0.2334111370456819,12-17-2019,Data Analyst
xml,0.383461153717906,12-17-2019,Data Analyst
C++,0.10836945648549516,12-17-2019,Data Analyst
C#,0.5001667222407469,12-18-2019,Data Analyst
aws,0.4464285714285714,12-18-2019,Data Analyst
azure,0.4464285714285714,12-18-2019,Data Analyst
bigquery,1.3392857142857142,12-18-2019,Data Analyst
excel,14.285714285714285,12-18-2019,Data Analyst
gcp,0.8928571428571428,12-18-2019,Data Analyst
html,0.8928571428571428,12-18-2019,Data Analyst
hive,0.8928571428571428,12-18-2019,Data Analyst
illustrator,0.4464285714285714,12-18-2019,Data Analyst
java,1.3392857142857142,12-18-2019,Data Analyst
javascript,0.8928571428571428,12-18-2019,Data Analyst
microsoft,10.267857142857142,12-18-2019,Data Analyst
mongodb,0.4464285714285714,12-18-2019,Data Analyst
mysql,2.232142857142857,12-18-2019,Data Analyst
net,0.4464285714285714,12-18-2019,Data Analyst
nosql,0.4464285714285714,12-18-2019,Data Analyst
node,0.4464285714285714,12-18-2019,Data Analyst
oracle,0.8928571428571428,12-18-2019,Data Analyst
pandas,0.4464285714285714,12-18-2019,Data Analyst
