Name,Average_User_Rating,User_Rating_Count,Price,In-app_Purchases,Developer,Age_Rating,Languages,Size,Original_Release_Date,Current_Version_Release_Date,Action,Adventure,Board,Card,Casual,Education,Entertainment,Family,Puzzle,Role Playing,Simulation,Sports,Other,desc_lengths,Difference_in_Days
\u0635\u0631\u0627\u0639 \u0627\u0644\u062c\u0628\u0627\u0628\u0631\u0629,4.0,850.0,0.0,"['99.99', '4.99', '9.99', '19.99', '49.99']",Arabbaramj,9.0,"AR, BN, BG, CA, HR, CS, DA, NL, EN, FI, FR, DE, EL, GU, HE, HI, HU, ID, IT, JA, KN, KO, LV, MS, ML, MR, NB, FA, PL, PT, PA, RO, RU, ZH, SK, SL, ES, SV, TA, TE, TH, ZH, TR, UK, VI",194698240.0,1486,300,0,0,0,0,0,0,0,0,0,1,0,0,1,11673,1186
Push Box - A Game For All Ages,0.0,0.0,0.0,['0.99'],Kun Mao,17.0,"ZH, EN, ZH, ZH",27591680.0,1333,187,0,0,0,0,0,1,0,0,1,0,0,0,0,37,1146
Angry Lizard: Pet Birds Rescue,0.0,0.0,0.0,['0.0'],Clumsy Clash LLC,4.0,EN,35643392.0,1674,1674,0,1,0,0,0,0,1,0,0,0,0,0,0,431,0
Mobile Strike,3.5,29070.0,0.0,"['19.99', '19.99', '4.99', '19.99', '99.99', '9.99', '49.99', '4.99', '99.99', '19.99']",Epic War LLC,12.0,"AR, EN, FR, DE, IT, JA, KO, PT, RU, ZH, ES, ZH, TR",221646848.0,1330,13,0,0,0,0,0,0,0,0,0,1,0,0,1,1314,1317
Fudge Flingers,0.0,0.0,0.99,['0.0'],Chad Towns,9.0,EN,63224832.0,1664,588,0,0,0,0,0,0,1,1,0,0,0,0,0,947,1076
SKIMM,3.5,8.0,0.0,['0.99'],Collin Wade Thiessen,4.0,EN,8724480.0,1695,1692,0,0,0,0,1,0,1,0,0,0,0,0,0,269,3
Armory: Destiny Edition,0.0,0.0,0.99,['9.99'],Casey Evanoff,4.0,EN,7655424.0,1697,973,1,0,0,0,0,0,0,0,0,0,0,0,1,183,724
ColorSlam,5.0,27.0,0.0,"['0.99', '19.99', '3.99']",Robot Sea Monster Games,4.0,EN,237025280.0,1497,797,0,0,0,0,1,0,0,0,0,0,0,0,0,1543,700
Stacker Infinity - Fun Arcade Game,4.0,15.0,0.0,['1.99'],LAI Games,4.0,EN,200081408.0,1694,1671,0,0,0,0,1,0,1,0,0,0,0,0,0,939,23
Lamp And Vamp,3.5,42.0,1.99,['0.0'],GlobZ,9.0,"EN, FR",27271168.0,1617,1519,0,0,0,0,0,0,1,0,1,0,0,0,0,1708,98
